"","SYMBOL","DESC","UNIPROT","ENTREZID","GSM3559494_11_1B.CEL","GSM3559495_13_6C.CEL","GSM3559496_14_3A.CEL","GSM3559497_15_10B.CEL","GSM3559498_16_4D.CEL","GSM3559499_17_4C.CEL","GSM3559500_18_2C.CEL","GSM3559501_2_6B.CEL","GSM3559502_20_19E.CEL","GSM3559503_24_13D.CEL","GSM3559504_26_17A.CEL","GSM3559505_27_13B.CEL","GSM3559506_3_4E.CEL","GSM3559507_30_18C.CEL","GSM3559508_32_15E.CEL","GSM3559509_33_14D.CEL","GSM3559510_37_18E.CEL","GSM3559511_38_21C.CEL","GSM3559512_4_3E.CEL","GSM3559513_9_7E.CEL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC1300000293.mm.2","Prl3d1","prolactin family 3, subfamily d, member 1","A0A286YC78, Q8BNL4","18775",5.70178613033904,6.26857365798754,5.92808597168796,5.19316640998521,5.46884625805044,7.53277900707805,5.7796115640057,5.52211854373126,5.82859393735819,6.19220822384897,6.62202206865385,6.28176631012164,5.20943223849759,5.57978937155674,6.01468566325311,6.3057680224099,9.02881914986167,5.45637897646085,6.12284663682007,5.55436005694474,-1.11377971180117,6.07958190993263,-2.85402639887452,0.00815762020189259,0.999825897571165,-4.32691089926298
"TC1900001464.mm.2","Rbp4","retinol binding protein 4, plasma","H7BWY6, Q00724","19662",6.53926908653265,7.31197797919382,6.0193804199599,5.9007694263703,7.29334482496715,7.16515859846277,5.50475219228567,7.32771885085596,7.31623180363743,7.12159408223474,10.1518510276613,6.4061210641428,5.75971847227098,6.14797191686594,7.82345296965266,8.38763279225854,10.3569541409679,7.37807324918866,7.17628753904204,6.46678977135339,-1.06086748782353,7.17775251039523,-1.8870313331606,0.0698684318846235,0.999825897571165,-4.48673746351327
"TC0500000835.mm.2","Afp","alpha fetoprotein","P02772","11576",5.37119255360205,5.35410750070946,5.50449575489626,5.35010889597592,6.17959351780906,5.83699575140377,5.30844311363868,5.91723343108188,5.66472251942342,5.2569312826141,9.67954739488011,5.61429990137249,5.3742250007731,5.53565489089555,7.34626054600621,6.98328175198814,9.62780394872355,5.1005243344241,6.50387763879759,5.46022792993121,-1.00671075688638,6.14847638294733,-1.6274907856928,0.115159586045585,0.999825897571165,-4.52412913657547
"TC0700003914.mm.2","Hbb-y","hemoglobin Y, beta-like embryonic chain","P02104, Q9CR49","15135",5.70656668276542,10.2367249563254,11.095095957963,5.73176006016201,11.6864221886028,11.3156318618551,10.5686222316755,11.427887344207,10.348703369914,11.0744859012168,12.4234563015098,11.6170273884916,11.9396963783793,9.44611899613757,10.2238689263622,10.7900931941763,12.0550377710542,11.4858356024969,12.1177362142725,5.48084976532913,-1.30443364288994,10.3385810546448,-1.25090479377823,0.221619180719928,0.999825897571165,-4.57150339161655
"TC0700003912.mm.2","Hbb-bh1","hemoglobin Z, beta-like embryonic chain","P04444, Q5EBL1","15132",5.04008242367673,8.00938416909303,9.11477012821321,4.88419097584691,10.2978110262329,9.73331757862431,7.98686485833545,9.68279529752719,7.87606641855864,9.03960277461333,10.6699401299163,10.2430719106892,11.2926130151419,6.59618264053709,7.95148200066885,8.6227629593732,10.5452141887768,9.835431568275,11.3230108394499,5.61466942158695,-1.12896367668699,8.71796321625684,-1.19758631067451,0.241407376687028,0.999825897571165,-4.57743973004187
