"";"GSM3559513_9_7E.CEL.x";"GSM3559494_11_1B.CEL.y";"GSM3559495_13_6C.CEL.y";"GSM3559496_14_3A.CEL.y";"GSM3559497_15_10B.CEL.y";"GSM3559498_16_4D.CEL.y";"GSM3559499_17_4C.CEL.y";"GSM3559500_18_2C.CEL.y";"GSM3559501_2_6B.CEL.y";"GSM3559502_20_19E.CEL.y";"GSM3559503_24_13D.CEL.y";"GSM3559504_26_17A.CEL.y";"GSM3559505_27_13B.CEL.y";"GSM3559506_3_4E.CEL.y";"GSM3559507_30_18C.CEL.y";"GSM3559508_32_15E.CEL.y";"GSM3559509_33_14D.CEL.y";"GSM3559510_37_18E.CEL.y";"GSM3559511_38_21C.CEL.y";"GSM3559512_4_3E.CEL.y";"GSM3559513_9_7E.CEL.y"
"TC1100000483.mm.2";4,54215706510071;5,01903990331938;5,74281004478841;5,16091678373693;4,84995445813289;5,36813465828763;6,33387479556596;5,74833513675463;4,97485763429188;6,03801343832988;6,0921081740957;7,64472839187529;5,18473683974519;6,40325559519325;5,80681625237474;6,23337574071765;6,97549221804748;7,95381335888936;5,33576822570058;6,0967970287239;4,54215706510071
"TC1100000866.mm.2";6,55004201909064;5,9679626215075;5,43797038559946;4,95475729081537;4,61189790586781;4,97755098816311;6,77268527481019;5,74863130078749;5,5533795548124;6,34384508156054;6,90130279312711;6,52082122254568;6,52379397281516;5,16260528588517;7,05235505244588;7,862752768368;7,36709938656529;7,36771531761104;6,44494576622991;4,63582440520824;6,55004201909064
"TC1100002611.mm.2";5,05338619402966;5,05088209366236;6,49370394327468;5,74579167513577;5,51252233188999;5,68456647657136;6,65357602810342;3,74495511153189;4,88863828728616;6,00576896626999;5,77352278838829;7,50149893684863;4,9622924139286;5,84838116441243;5,76594055755423;5,72155410171418;6,85094752979333;7,51375141134845;5,15389291142416;7,57551494449719;5,05338619402966
"TC1100004000.mm.2";5,7602273326632;5,1259588378474;7,1579878469529;6,24160486967437;6,65866362910032;5,8060119262578;4,58903624568599;5,78166724389859;6,55321592444683;4,86637398340446;5,17689225401123;6,2323477006097;4,78539412401203;7,58089948736317;4,16371034029197;4,77052885710745;5,66710909729052;4,94735833140207;4,88703146321701;5,34785464475369;5,7602273326632
"TC1200002119.mm.2";7,14024262753558;7,87346410866748;6,33859240434216;6,04541139847535;5,94027078027252;6,42788210116427;7,3851227060931;6,93263966973309;7,02518822826242;7,95705409686165;7,60681078685491;7,28382240819107;7,42385504494937;5,66304162187398;7,55928755581815;7,86119535575192;8,40679048859466;8,28821405991675;7,43849799789348;6,12541087579084;7,14024262753558
"TC1200002285.mm.2";5,93902012585827;7,05412923328709;6,64662484638119;5,86056821694779;6,87731671526033;6,27303993442923;8,3748547862534;5,9176288718435;5,93660686238996;7,92248682689617;8,29223730199826;8,93409076342777;7,44592078333995;7,64634774512741;8,31658223409439;6,79621648482109;8,13005941673518;8,91932546664272;7,78110347686189;8,53814206610628;5,93902012585827
"TC1300000019.mm.2";6,97969541719201;7,87409746060421;5,78292858069378;6,34401728244222;6,65729281971699;7,33772879924646;8,04740495502982;6,11876524898446;7,03343912272244;7,70224085633852;7,72429430574129;7,30546380380725;7,56206612802245;6,75082376061931;7,75517597496602;8,13092713081045;8,15042549196696;7,88037944305937;7,55477392842484;6,08951087663318;6,97969541719201
"TC1300000147.mm.2";5,48436110636367;7,30008686889672;6,53313465716639;5,64785548216126;5,73327250380878;7,03506712409366;7,55668489675414;6,89454155645635;7,39929681218951;9,37407099276154;9,23349911237828;10,4565883842673;8,81976037799738;8,38213553415844;8,29877224057438;8,62780377242184;9,04294401078782;10,2698352540838;10,079888689715;6,8006618999853;5,48436110636367
"TC1300000293.mm.2";5,55436005694474;5,70178613033904;6,26857365798754;5,92808597168796;5,19316640998521;5,46884625805044;7,53277900707805;5,7796115640057;5,52211854373126;5,82859393735819;6,19220822384897;6,62202206865385;6,28176631012164;5,20943223849759;5,57978937155674;6,01468566325311;6,3057680224099;9,02881914986167;5,45637897646085;6,12284663682007;5,55436005694474
"TC1300000295.mm.2";4,43529475414551;3,67035625500928;5,43937067728405;4,90072582448092;4,12029359871819;3,90298383160511;6,6330216153192;4,84743919873646;4,186587804585;4,40901047254306;4,51822533737478;5,30044182351665;5,11547374406712;4,23968689353134;4,32359177015926;4,66304980381951;5,22551868059789;6,55161930308518;4,05948459619736;5,29401676178075;4,43529475414551
"TC1300001453.mm.2";4,86818473778055;4,22716385099998;5,3192749886488;6,22103308955132;4,90421051347274;4,58258499519665;7,00353730403293;5,09767648235045;5,35682770017015;5,59142225472697;5,0733296645421;6,27552307316481;6,12369378947156;5,37297212466289;4,19621825417676;5,87819256665871;5,49524479749817;7,21456201986461;4,23617815792233;5,58730826891091;4,86818473778055
"TC1400002115.mm.2";8,63216772099716;8,73639828948795;8,22005051765476;8,74836939458205;8,12056998511699;8,57148888412343;9,02200625517348;8,85757709894446;7,76129150035668;10,3194903614614;10,0912332758472;9,29175598218392;9,2634871551679;8,45114179814245;9,23200578074262;10,1903924530878;10,24948987082;10,2525057863397;9,77301305185402;8,43004791215743;8,63216772099716
"TC1600000553.mm.2";6,43669237434318;4,55481364035482;8,96684674666104;6,32470314743964;7,05622872008015;6,29423455501156;4,74351041583966;7,16779545521591;6,44800204763944;5,89941176992012;6,60250636304756;7,06456100934751;6,20155006656894;7,18803650778664;5,22177306551915;6,52715437243018;5,77582929860338;6,55685371027112;5,74438899544295;6,40154720188981;6,43669237434318
"TC1700000933.mm.2";7,31314434222592;6,60684751851462;8,64342688105439;7,50815736081456;7,00779143529552;6,25295402045847;6,95021109202317;7,4604137285201;6,96980595601662;5,79985341545877;6,87650896839153;6,73612484798979;6,42005937050682;7,82114000095233;6,24335718937622;6,3413479582802;6,16757360109712;5,93740261936825;7,06506764388826;7,96673108337824;7,31314434222592
"TC1700001451.mm.2";7,80022110007908;8,06694678967133;8,76286494658226;8,25148454477991;8,03044899742314;8,42798047562884;7,60470327141517;8,54494610009035;8,66835462177264;6,93292907564803;6,73874229617474;7,04289444256602;7,00371205335927;8,54734830684635;7,05633037168836;6,30907957069879;6,53415444143732;6,24395378001779;6,85453139610239;8,68551393096849;7,80022110007908
"TC1900001415.mm.2";5,79458529178924;8,72645407802531;8,50644432391636;6,36414999982818;6,38332734405658;8,26613862533688;9,5867470567204;7,57849235837386;5,76100288759853;9,30442466354698;9,5556768544979;10,6768076122775;8,78544383199126;8,76325718243553;9,62429195903543;8,37631329760133;8,40206509410567;10,2314585210062;10,0205540644439;6,23919186582714;5,79458529178924
"TC1900001464.mm.2";6,46678977135339;6,53926908653265;7,31197797919382;6,0193804199599;5,9007694263703;7,29334482496715;7,16515859846277;5,50475219228567;7,32771885085596;7,31623180363743;7,12159408223474;10,1518510276613;6,4061210641428;5,75971847227098;6,14797191686594;7,82345296965266;8,38763279225854;10,3569541409679;7,37807324918866;7,17628753904204;6,46678977135339
